,ts_code,stock_name,industry,market,stock_beta
0,000001.SZ,平安银行,银行,主板,1.1790990447523144
1,000002.SZ,万科A,全国地产,主板,1.407401006924867
2,000005.SZ,世纪星源,房产服务,主板,0.937327224724892
3,000009.SZ,中国宝安,综合类,主板,1.115749176574222
4,000010.SZ,美丽生态,建筑施工,主板,0.8756782713872975
5,000011.SZ,深物业A,区域地产,主板,1.1930409473033634
6,000012.SZ,南玻A,玻璃,主板,1.1316166660324998
7,000014.SZ,沙河股份,全国地产,主板,1.3791890635532007
8,000016.SZ,深康佳A,家用电器,主板,1.1689779936642524
9,000017.SZ,深中华A,文教休闲,主板,1.035071136446866
10,000020.SZ,深华发A,元器件,主板,1.0647899040961804
11,000021.SZ,深科技,电脑设备,主板,1.1158919234606426
12,000023.SZ,深天地A,其他建材,主板,1.1480733688922589
13,000025.SZ,特力A,汽车服务,主板,0.724691818178158
14,000026.SZ,飞亚达A,其他商业,主板,0.9458422343982443
15,000027.SZ,深圳能源,火力发电,主板,0.7371614322016521
16,000028.SZ,国药一致,医药商业,主板,0.7669887397515508
17,000030.SZ,富奥股份,汽车配件,主板,0.9495179557870753
18,000036.SZ,华联控股,全国地产,主板,1.1731938049337516
19,000037.SZ,深南电A,火力发电,主板,0.9621017490683176
20,000039.SZ,中集集团,轻工机械,主板,1.2928002749690035
21,000040.SZ,东旭蓝天,新型电力,主板,0.5471393067976941
22,000043.SZ,中航善达,房产服务,主板,0.8015345363743043
23,000045.SZ,深纺织A,纺织,主板,1.0261243627857466
24,000049.SZ,德赛电池,电气设备,主板,1.0692511353194494
25,000050.SZ,深天马A,元器件,主板,1.2854084954165859
26,000055.SZ,方大集团,其他建材,主板,0.9867457925477044
27,000058.SZ,深赛格,元器件,主板,0.935406523329657
28,000059.SZ,华锦股份,石油加工,主板,1.0830556637981417
29,000060.SZ,中金岭南,铅锌,主板,1.2993891269338862
30,000062.SZ,深圳华强,批发业,主板,1.123130954860905
31,000065.SZ,北方国际,建筑施工,主板,1.1878505292483519
32,000066.SZ,中国长城,电脑设备,主板,1.1165626974910554
33,000068.SZ,华控赛格,元器件,主板,0.805079619793922
34,000069.SZ,华侨城A,旅游景点,主板,1.1895134973147639
35,000070.SZ,特发信息,通信设备,主板,1.1803431654144712
36,000078.SZ,海王生物,生物制药,主板,0.8008380146077299
37,000088.SZ,盐田港,港口,主板,1.1512722903578043
38,000089.SZ,深圳机场,机场,主板,0.7503026918902248
39,000090.SZ,天健集团,建筑施工,主板,0.960216855014293
40,000096.SZ,广聚能源,石油贸易,主板,0.36242109291582886
41,000099.SZ,中信海直,空运,主板,1.0154947659248363
42,000100.SZ,TCL集团,家用电器,主板,1.0029741191673862
43,000150.SZ,宜华健康,医疗保健,主板,0.22397206708987777
44,000153.SZ,丰原药业,化学制药,主板,0.9986274513748398
45,000157.SZ,中联重科,工程机械,主板,0.7075535815053491
46,000159.SZ,国际实业,石油贸易,主板,0.9831277555807859
47,000166.SZ,申万宏源,证券,主板,0.8559116962606432
48,000338.SZ,潍柴动力,汽车配件,主板,1.0044030981414442
49,000400.SZ,许继电气,电气设备,主板,0.8656947100387146
50,000402.SZ,金融街,全国地产,主板,1.0306726402786164
51,000404.SZ,长虹华意,专用机械,主板,0.9971343407161593
52,000407.SZ,胜利股份,供气供热,主板,1.2047748631744895
53,000411.SZ,英特集团,医药商业,主板,1.0294070831504156
54,000413.SZ,东旭光电,元器件,主板,0.9882001419333976
55,000416.SZ,民生控股,多元金融,主板,1.2482033994906767
56,000417.SZ,合肥百货,百货,主板,0.9138494407206625
57,000419.SZ,通程控股,百货,主板,0.8809449589246825
58,000421.SZ,南京公用,供气供热,主板,0.8579672563134346
59,000423.SZ,东阿阿胶,中成药,主板,0.8912020179045304
60,000425.SZ,徐工机械,工程机械,主板,1.0013510929409322
61,000428.SZ,华天酒店,酒店餐饮,主板,0.973139741558923
62,000429.SZ,粤高速A,路桥,主板,0.5020418524164495
63,000430.SZ,张家界,旅游景点,主板,0.8195720598070975
64,000488.SZ,晨鸣纸业,造纸,主板,1.237096098472529
65,000498.SZ,山东路桥,建筑施工,主板,0.9594848385961473
66,000501.SZ,鄂武商A,百货,主板,0.987883111041499
67,000505.SZ,京粮控股,食品,主板,0.8263932545156828
68,000507.SZ,珠海港,港口,主板,1.042536703360483
69,000510.SZ,金路集团,化工原料,主板,0.9886629177415867
70,000513.SZ,丽珠集团,中成药,主板,1.2147466867157568
71,000514.SZ,渝开发,区域地产,主板,0.9440534268549001
72,000517.SZ,荣安地产,区域地产,主板,1.0647985761844636
73,000518.SZ,四环生物,生物制药,主板,0.8996337601468408
74,000519.SZ,中兵红箭,矿物制品,主板,0.8874065920439546
75,000520.SZ,长航凤凰,水运,主板,0.8303411380206278
76,000524.SZ,岭南控股,酒店餐饮,主板,1.0220165429995987
77,000525.SZ,红太阳,农药化肥,主板,1.026939274752587
78,000528.SZ,柳工,工程机械,主板,1.2632810742087492
79,000529.SZ,广弘控股,食品,主板,0.820480486888984
80,000530.SZ,大冷股份,机械基件,主板,1.1070455706922109
81,000531.SZ,穗恒运A,火力发电,主板,0.9538302573671344
82,000532.SZ,华金资本,元器件,主板,1.3420955355859783
83,000536.SZ,华映科技,元器件,主板,1.1257273250666449
84,000537.SZ,广宇发展,区域地产,主板,1.470098615621893
85,000539.SZ,粤电力A,火力发电,主板,0.6189596796511517
86,000541.SZ,佛山照明,家用电器,主板,0.7926929166928635
